Num_topics,Alpha,Beta,Coherence
3,0.01,0.01,0.3601481040904299
3,0.01,0.51,0.3348057882761655
3,0.51,0.01,0.3778879009737668
3,0.51,0.51,0.36839864128359706
4,0.01,0.01,0.383894486084034
4,0.01,0.51,0.3702283898529713
4,0.51,0.01,0.405324303037247
4,0.51,0.51,0.3792290906023976
5,0.01,0.01,0.4184351813625806
5,0.01,0.51,0.40111126047575824
5,0.51,0.01,0.42949285826553235
5,0.51,0.51,0.39705118383205323
6,0.01,0.01,0.4175794467437172
6,0.01,0.51,0.4196261602902231
6,0.51,0.01,0.4217323895696084
6,0.51,0.51,0.39936477391085545
7,0.01,0.01,0.43132356643445713
7,0.01,0.51,0.41852272472564184
7,0.51,0.01,0.41865588947857174
7,0.51,0.51,0.4272668314620639
8,0.01,0.01,0.4275800383595387
8,0.01,0.51,0.4070214127122341
8,0.51,0.01,0.4315028837311847
8,0.51,0.51,0.4275530407765046
9,0.01,0.01,0.4244940841635219
9,0.01,0.51,0.4192768973750706
9,0.51,0.01,0.42137721222424196
9,0.51,0.51,0.48941576578317786
10,0.01,0.01,0.406967872043568
10,0.01,0.51,0.44109291257193206
10,0.51,0.01,0.44680578852873953
10,0.51,0.51,0.4421453534134909
